id,year,male,female,total,childbearing_age,pregnants,not_pregnant,births,u1,u5,u15,suspect_tb
ABIM,2015,55200,58200,113400,26082,5670,20412,5499.9,4876.2,22906.8,52164,340.2
ABIM,2016,58900,61800,120700,27761,6035,21726,5853.95,5190.1,24381.4,55522,362.1
ABIM,2017,62700,65500,128200,29486,6410,23076,6217.7,5512.6,25896.4,58972,384.6
ABIM,2018,66700,69500,136200,31326,6810,24516,6605.7,5856.6,27512.4,62652,408.6
ABIM,2019,71000,73600,144600,33258,7230,26028,7013.1,6217.8,29209.2,66516,433.8
ABIM,2020,75500,78000,153500,35305,7675,27630,7444.75,6600.5,31007,70610,460.5
ABIM,2021,80300,82600,162900,37467,8145,29322,7900.65,7004.7,32905.8,74934,488.7
ABIM,2022,85300,87300,172600,39698,8630,31068,8371.1,7421.8,34865.2,79396,517.8
ABIM,2023,90500,92300,182800,42044,9140,32904,8865.8,7860.4,36925.6,84088,548.4
ABIM,2024,96000,97600,193600,44528,9680,34848,9389.6,8324.8,39107.2,89056,580.8
ABIM,2025,101700,103000,204700,47081,10235,36846,9927.95,8802.1,41349.4,94162,614.1
ADJUMANI,2015,108800,117700,226500,52095,11325,40770,10985.25,9739.5,45753,104190,679.5
ADJUMANI,2016,109700,118900,228600,52578,11430,41148,11087.1,9829.8,46177.2,105156,685.8
ADJUMANI,2017,110500,120000,230500,53015,11525,41490,11179.25,9911.5,46561,106030,691.5
ADJUMANI,2018,111200,121200,232400,53452,11620,41832,11271.4,9993.2,46944.8,106904,697.2
ADJUMANI,2019,112000,122300,234300,53889,11715,42174,11363.55,10074.9,47328.6,107778,702.9
ADJUMANI,2020,112600,123300,235900,54257,11795,42462,11441.15,10143.7,47651.8,108514,707.7
ADJUMANI,2021,113200,124200,237400,54602,11870,42732,11513.9,10208.2,47954.8,109204,712.2
ADJUMANI,2022,113700,125100,238800,54924,11940,42984,11581.8,10268.4,48237.6,109848,716.4
ADJUMANI,2023,114100,125900,240000,55200,12000,43200,11640,10320,48480,110400,720
ADJUMANI,2024,114500,126700,241200,55476,12060,43416,11698.2,10371.6,48722.4,110952,723.6
ADJUMANI,2025,114700,127300,242000,55660,12100,43560,11737,10406,48884,111320,726
AGAGO,2015,112000,118800,230800,53084,11540,41544,11193.8,9924.4,46621.6,106168,692.4
AGAGO,2016,114000,120900,234900,54027,11745,42282,11392.65,10100.7,47449.8,108054,704.7
AGAGO,2017,116000,123000,239000,54970,11950,43020,11591.5,10277,48278,109940,717
AGAGO,2018,118000,125200,243200,55936,12160,43776,11795.2,10457.6,49126.4,111872,729.6
AGAGO,2019,119900,127300,247200,56856,12360,44496,11989.2,10629.6,49934.4,113712,741.6
AGAGO,2020,121900,129300,251200,57776,12560,45216,12183.2,10801.6,50742.4,115552,753.6
AGAGO,2021,123700,131300,255000,58650,12750,45900,12367.5,10965,51510,117300,765
AGAGO,2022,125500,133300,258800,59524,12940,46584,12551.8,11128.4,52277.6,119048,776.4
AGAGO,2023,127300,135200,262500,60375,13125,47250,12731.25,11287.5,53025,120750,787.5
AGAGO,2024,129000,137000,266000,61180,13300,47880,12901,11438,53732,122360,798
AGAGO,2025,130500,138800,269300,61939,13465,48474,13061.05,11579.9,54398.6,123878,807.9
ALEBTONG,2015,113500,118900,232400,53452,11620,41832,11271.4,9993.2,46944.8,106904,697.2
ALEBTONG,2016,116900,122100,239000,54970,11950,43020,11591.5,10277,48278,109940,717
ALEBTONG,2017,120300,125400,245700,56511,12285,44226,11916.45,10565.1,49631.4,113022,737.1
ALEBTONG,2018,123700,128700,252400,58052,12620,45432,12241.4,10853.2,50984.8,116104,757.2
ALEBTONG,2019,127200,132000,259200,59616,12960,46656,12571.2,11145.6,52358.4,119232,777.6
ALEBTONG,2020,130700,135400,266100,61203,13305,47898,12905.85,11442.3,53752.2,122406,798.3
ALEBTONG,2021,134100,138700,272800,62744,13640,49104,13230.8,11730.4,55105.6,125488,818.4
ALEBTONG,2022,137600,142000,279600,64308,13980,50328,13560.6,12022.8,56479.2,128616,838.8
ALEBTONG,2023,141100,145300,286400,65872,14320,51552,13890.4,12315.2,57852.8,131744,859.2
ALEBTONG,2024,144600,148600,293200,67436,14660,52776,14220.2,12607.6,59226.4,134872,879.6
ALEBTONG,2025,148000,151900,299900,68977,14995,53982,14545.15,12895.7,60579.8,137954,899.7
AMOLATAR,2015,74600,75500,150100,34523,7505,27018,7279.85,6454.3,30320.2,69046,450.3
AMOLATAR,2016,76600,77400,154000,35420,7700,27720,7469,6622,31108,70840,462
AMOLATAR,2017,78700,79300,158000,36340,7900,28440,7663,6794,31916,72680,474
AMOLATAR,2018,80800,81200,162000,37260,8100,29160,7857,6966,32724,74520,486
AMOLATAR,2019,82900,83100,166000,38180,8300,29880,8051,7138,33532,76360,498
AMOLATAR,2020,85100,85000,170100,39123,8505,30618,8249.85,7314.3,34360.2,78246,510.3
AMOLATAR,2021,87200,86800,174000,40020,8700,31320,8439,7482,35148,80040,522
AMOLATAR,2022,89300,88700,178000,40940,8900,32040,8633,7654,35956,81880,534
